stu_id,Name,Subjects,Title,stu_school,stu_year,stu_jel,Field,academic_year,Origin,Scopus_name,stu_scopus,repec_name,stu_repec
"GOSPODINOV, NIKOLAY P.;Boston College;2000","Gospodinov, Nikolay P.",Single Equation Models; Single Variables: Time-Series Models; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Diffusion Processes;Multiple or Simultaneous Equation Models: Time-Series Models; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Diffusion Processes; State Space Models,"Essays in Time Series Econometrics: Methods for Improved Finite-Sample Inference in Nonstationary, Noninvertible and Nonlinear Models",Boston College,2000,C,Mathematical and Quantitative Methods,2000-2001,both,"Gospodinov, Nikolay",6506561526,"GOSPODINOV, NIKOLAY",pgo5
"MENEZES, ANTONIO;Boston College;2000","Menezes, Antonio","Human Capital; Skills; Occupational Choice; Labor Productivity;Unemployment: Models, Duration, Incidence, and Job Search","Two Essays on Productivity, Aggregate Shocks, and Job Flows",Boston College,2000,J,Labor and Demographic Economics,2000-2001,both,"Menezes, António",55666721300,"MENEZES, ANTONIO GOMES",pme153
"SARRO, MARK A.;Boston College;2000","Sarro, Mark A.","Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs;Marriage; Marital Dissolution; Family Structure; Domestic Abuse",Financial and Nonfinancial Determinants of Unmarried Birth and Welfare Participation: A Theoretical Model and Empirical Results,Boston College,2000,I,"Health, Education, and Welfare",2000-2001,both,"Sarro, Mark",56976204700,"SARRO, MARK",psa1088
"SOHRABJI, NILOUFER;Boston College;2000","Sohrabji, Niloufer",International Linkages to Development; Role of International Organizations;Foreign Exchange,An Empirical and Theoretical Analysis of Real Exchange Rate Targeting in Developing Countries,Boston College,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Sohrabji, Niloufer",25823366500,"SOHRABJI, NILOUFER",pso194
"CHUNG, IL YUNG;Boston University;2000","Chung, Il Yung",General Financial Markets: Other,Interest Rate Risk Management: Hedging Misspecification in Interest Rate Swaps,Boston University,2000,G,Financial Economics,2000-2001,both,"Chung, Ilyung",24300969400,,
"RATAM, DIDIT A.;Boston University;2000","Ratam, Didit A.",General Financial Markets: Other,Valuation and Hedging of Commodity-Linked Interest Rate Swaps,Boston University,2000,G,Financial Economics,2000-2001,both,,,,
"KONG, YING;Carleton University;2000","Kong, Ying","Oligopoly and Other Imperfect Markets;Production, Pricing, and Market Structure; Size Distribution of Firms;Monopoly; Monopolization Strategies",Prices and Pricing in Imperfectly Competitive Markets,Carleton University,2000,L,Industrial Organization,2000-2001,both,"Kong, Ying",57196007388,"KONG, YING",pko840
"KWAN, CHING-CHEUNG;City University of New York;2000","Kwan, Ching-Cheung",Information and Internet Services; Computer Software;Telecommunications;Industry Studies: Utilities and Transportation: Government Policy,"Florence Factors Affecting the Availability of Broadband Access to the Internet: Costs, Demographics, Infrastructure, Wire Center Type, and Regulatory Issues",City University of New York,2000,L,Industrial Organization,2000-2001,both,,,,
"ZHU, JINTAO;City University of New York;2000","Zhu, Jintao",Contingent Pricing; Futures Pricing; option pricing,Pricing the Interest Rate Derivatives with the Heath-Jarrow-Morton Models,City University of New York,2000,G,Financial Economics,2000-2001,both,"Zhu, Jintao",56136130300,,
"JO, GAB-JE;Claremont Graduate University;2000","Jo, Gab-Je",Current Account Adjustment; Short-term Capital Movements;International Financial Markets;Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance;International Linkages to Development; Role of International Organizations,The Roles of International Capital Flows and Financial Contagion in the Asian Financial Crises,Claremont Graduate University,2000,F,International Economics,2000-2001,both,"Jo, Gab Je",6701387321,"JO, GAB-JE",pjo248
"LE, QUAN VU;Claremont Graduate University;2000","Le, Quan Vu",Economic Development: General;Formal and Informal Sectors; Shadow Economy; Institutional Arrangements,Essays in the Political Economy of Socio-political Instability and the Problem of Economic Development,Claremont Graduate University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Le, Quan Vu",36799468400,,
"SITTHIYOT, THITITHEP;Claremont Graduate University;2000","Sitthiyot, Thitithep",Macroeconomic Analyses of Economic Development;Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence;Price Level; Inflation; Deflation,The Long-Run Effects of Inflation on Growth: When Does It Hurt and Which Countries are Most Affected?,Claremont Graduate University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Sitthiyot, Thitithep",6503985065,,
"THANYALAKPARK, KESSARA;Claremont Graduate University;2000","Thanyalakpark, Kessara",International Financial Markets;Current Account Adjustment; Short-term Capital Movements;International Linkages to Development; Role of International Organizations,Essays on Market Integration and Contagion in South East Asian Markets,Claremont Graduate University,2000,G,Financial Economics,2000-2001,both,"Thanyalakpark, Kessara",6504361546,,
"WHITED, HSIN-HUI I. H.;Claremont Graduate University;2000","Whited, Hsin-hui I. H.",International Linkages to Development; Role of International Organizations;Foreign Exchange;Monetary Systems; Standards; Regimes; Government and the Monetary System; Payment Systems,Dollarization and Foreign Currency Deposits in Latin America: A Theoretical and Empirical Reassessment,Claremont Graduate University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Whited, Hsin Hui I.H.",6507475836,,
"GROBMAN, JEFFREY H.;Colorado School of Mines;2000","Grobman, Jeffrey H.",Electric Utilities;Industry Studies: Utilities and Transportation: Government Policy,A Quantitative Analysis of the Effect of Market Design and Policy Uncertainty on Investment in Electricity Generation: A Reinforcement Learning Approach,Colorado School of Mines,2000,L,Industrial Organization,2001-2002,both,,,,
"AHMAD, TAHA KHALED;Colorado State University;2000","Ahmad, Taha Khaled",Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance;Banks; Depository Institutions; Micro Finance Institutions; Mortgages,The Efficiency of the Banking System in Jordan 1990-1996,Colorado State University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"ALKHOLIFEY, AHMED A.;Colorado State University;2000","Alkholifey, Ahmed A.",Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance;Asset Pricing; Trading Volume; Bond Interest Rates,The Saudi Arabian Stock Market: Efficient Market Hypothesis and Investors' Behavior,Colorado State University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"ALSALEM, AHMED MOHAMMED;Colorado State University;2000","Alsalem, Ahmed Mohammed",Financial Institutions and Services: Government Policy and Regulation;Banks; Depository Institutions; Micro Finance Institutions; Mortgages,An Evaluation of the IMF Best-Practice Deposit Insurance System: Lessons from the United States Experience,Colorado State University,2000,G,Financial Economics,2000-2001,both,,,,
"LAJEUNESSE, ROBERT MARTIN;Colorado State University;2000","LaJeunesse, Robert Martin",Time Allocation and Labor Supply,The Economic and Social Aspects of Work Time,Colorado State University,2000,J,Labor and Demographic Economics,2000-2001,both,"LaJeunesse, Robert M.",15725567800,,
"DURBIN, ERIK WILLIAM;Columbia University;2000","Durbin, Erik William","Information, Knowledge, and Uncertainty: General;Transactional Relationships; Contracts and Reputation; Networks",Essays on Intermediation in Markets,Columbia University,2000,D,Microeconomics,2000-2001,both,"Durbin, Erik",8578319800,,
"JANNELLI, LUCIANO PIETRO;Columbia University;2000","Jannelli, Luciano Pietro",Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;Technological Change: Choices and Consequences; Diffusion Processes,Essays on Learning-by-Doing and Technological Change,Columbia University,2000,D,Microeconomics,2000-2001,both,,,,
"KANDEL, ANATOLY FILIPP;Columbia University;2000","Kandel, Anatoly Filipp",Criteria for Decision-Making under Risk and Uncertainty,Cognitive Schemata and Decisions under Uncertainty,Columbia University,2000,D,Microeconomics,2000-2001,both,,,,
"NG, DAVID;Columbia University;2000","Ng, David",Asset Pricing; Trading Volume; Bond Interest Rates;International Financial Markets,Three Essays in International Asset Pricing,Columbia University,2000,G,Financial Economics,2000-2001,both,"Ng, David T.",8578319700,"NG, DAVID",png43
"SCHIFFMAN, DANIEL AUBREY;Columbia University;2000","Schiffman, Daniel Aubrey","Economic History: Transport, Trade, Energy, Technology, and Other Services: U.S.; Canada: 1913-;Economic History: Financial Markets and Institutions: U.S.; Canada: 1913-;Railroads and Other Surface Transportation","Shattered Rails, Ruined Credit: Financial Fragility and Railroad Operations in the Great Depression",Columbia University,2000,N,Economic History,2000-2001,both,"Schiffman, Daniel A.",6603888291,,
"SIAM, JOHN J.;Concordia University;2000","Siam, John J.",Portfolio Choice; Investment Decisions,Hedging Canadian Short-Term Interest Rate Risk: The Bax Market,Concordia University,2000,G,Financial Economics,2000-2001,both,"Siam, John J.",24512789300,,
"ESPINO, EMILIO;Cornell University;2000","Espino, Emilio",Allocative Efficiency; Cost-Benefit Analysis;Asymmetric and Private Information; Mechanism Design,Essays on Efficient Allocations in Economies with Private Information,Cornell University,2000,D,Microeconomics,2000-2001,both,"Espino, Emilio",56195623000,"ESPINO, EMILIO",pes77
"HORVATH-ROSE, ANN;Cornell University;2000","Horvath-Rose, Ann","Fertility; Family Planning; Child Care; Children; Youth;Welfare, Well-Being, and Poverty: Government Programs; Provision and Effects of Welfare Programs;Economics of Gender; Non-labor Discrimination",Welfare Waivers and Women's Non-marital Fertility Decisions,Cornell University,2000,J,Labor and Demographic Economics,2000-2001,both,,,,
"ZHOU, WEN;Duke University;2000","Zhou, Wen",Entertainment; Media;Advertising,"The Magnitude, Timing, and Frequency of Firm Choice: Essays on Commercial Breaks and Price Discounts",Duke University,2000,L,Industrial Organization,2000-2001,both,"Zhou, Wen",10739745800,,
"LEE, WONHYUNG;Florida State University;2000","Lee, Wonhyung",International Linkages to Development; Role of International Organizations;Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence;Economic Growth of Open Economies,International Finance and Economic Growth in South Korea,Florida State University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"ZIMMERMAN, PAUL R.;Florida State University;2000","Zimmerman, Paul R.",Illegal Behavior and the Enforcement of Law,The Theoretical and Empirical Effects of Alcohol Control Policies on Crime,Florida State University,2000,K,Law and Economics,2000-2001,both,"Zimmerman, Paul R.",7101612912,"ZIMMERMAN, PAUL R.",pzi17
"TAMAJAI, ANUSORN;Fordham University;2000","Tamajai, Anusorn",International Linkages to Development; Role of International Organizations;Current Account Adjustment; Short-term Capital Movements;Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence,The Impact of Capital Inflows in Asian Economic Growth,Fordham University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"ABU-GHAIDA, DINA;Georgetown University;2000","Abu-Ghaida, Dina",Demand and Supply of Labor: General;Marriage; Marital Dissolution; Family Structure; Domestic Abuse,Family Background and Labor Market Outcomes,Georgetown University,2000,J,Labor and Demographic Economics,2000-2001,both,"Abu-Ghaida, Dina",6506502062,,
"BOUILLON, CESAR BUENDIA;Georgetown University;2000","Bouillon, Cesar Buendia","Economic Development: Human Resources; Human Development; Income Distribution; Migration;Current Account Adjustment; Short-term Capital Movements;Personal Income, Wealth, and Their Distributions;International Linkages to Development; Role of International Organizations",Essays on Current Account Dynamics in Latin America and on Income Inequality in Mexico,Georgetown University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Bouillon, César Patricio",6507462088,"BOUILLON, CESAR PATRICIO",pbo382
"KONIG, GABRIEL GONZALEZ;Georgetown University;2000","Konig, Gabriel Gonzalez",Geographic Labor Mobility; Immigrant Workers,Essays in Labor Migration,Georgetown University,2000,J,Labor and Demographic Economics,2000-2001,both,"González-König, Gabriel",36468267600,,
"MALHOTRA, VARSHA;Georgetown University;2000","Malhotra, Varsha",Economywide Country Studies: Asia including Middle East;Macroeconomic Analyses of Economic Development,Essays on Indian Macroeconomy,Georgetown University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"OSAKOVSKY, VLADIMIR;Georgetown University;2000","Osakovsky, Vladimir",Size and Spatial Distributions of Regional Economic Activity;Renewable Resources and Conservation: General;Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity,Economic Geography and Market Failure: Applications to Unemployment and Environment,Georgetown University,2000,R,"Urban, Rural, and Regional Economics",2000-2001,both,"Osakovsky, Vladimir V.",57224954074,,
"POLGAR, JORGE;Georgetown University;2000","Polgar, Jorge",Macroeconomic Analyses of Economic Development;Price Level; Inflation; Deflation;Foreign Exchange;Banks; Depository Institutions; Micro Finance Institutions; Mortgages;Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance,"Inflation and Banking, Foreign Reserves, and Exchange Rates: Essays in the Macroeconomics of Developing Countries",Georgetown University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"BIELINSKA-KWAPISZ, AGNIESZKA;Georgia State University;2000","Bielinska-Kwapisz, Agnieszka",Fiscal Policies and Behavior of Economic Agents: Household;Business Taxes and Subsidies including sales and value-added (VAT);Food; Beverages; Cosmetics; Tobacco; Wine and Spirits;Consumer Economics: Empirical Analysis,"Alcohol Taxes, Prices, and Consumption",Georgia State University,2000,H,Public Economics,2000-2001,both,"Bielińska-Kwapisz, Agnieszka",7801311053,,
"EDWARDS, BARBARA LYNN MARKIN;Georgia State University;2000","Edwards, Barbara Lynn Markin","Taxation and Subsidies: Incidence;Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes;State and Local Taxation, Subsidies, and Revenue",The Incidence of State Income Tax Treatment of the Elderly,Georgia State University,2000,H,Public Economics,2000-2001,both,"Edwards, Barbara M.",56069034300,,
"GELLER, CHRISTOPHER ROMAN;Georgia State University;2000","Geller, Christopher Roman",Analysis of Education,Private Schools and Public Quality: An Analysis of the Effects of Private Schools on Public School Performance,Georgia State University,2000,I,"Health, Education, and Welfare",2000-2001,both,"Geller, Christopher R.",11239988700,"GELLER, CHRIS",pge86
"MURPHY, JAMES HAVORD;Georgia State University;2000","Murphy, James Havord","Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity",The Scope Test Reconsidered: Theory and Experimental Evidence,Georgia State University,2000,D,Microeconomics,2000-2001,both,"Murphy, James H.",8693525900,"MURPHY, JAMES HAVORD",pmu592
"SCOTTON, CAROL ROBINSON;Georgia State University;2000","Scotton, Carol Robinson",Value of Life; Forgone Income;Safety; Job Satisfaction; Related Public Policy,The Impact of Workplace-Risk Measurement on Estimates of the Value of a Statistical Life,Georgia State University,2000,J,Labor and Demographic Economics,2000-2001,both,"Scotton, Carol R.",16640139700,,
"THOMAS, MARY KATHLEEN;Georgia State University;2000","Thomas, Mary Kathleen",Educational Finance; Financial Aid;State and Local Budget and Expenditures,The State Share of Revenue for Public Education: Measuring Its Magnitude and Effect on Total Per Pupil Spending in Primary and Secondary School Districts,Georgia State University,2000,I,"Health, Education, and Welfare",2000-2001,both,"Thomas, Mary K.",55472117300,,
"BAKER, MALCOLM;Harvard University;2000","Baker, Malcolm",Financial Economics: General;Investment Banking; Venture Capital; Brokerage; Ratings and Ratings Agencies;Asset Pricing; Trading Volume; Bond Interest Rates;Mergers; Acquisitions; Restructuring; Voting; Proxy Contests; Corporate Governance,Essays in Financial Economics: The Equity Share in New Issues and Aggregate Stock Returns; Limited Arbitrage in Mergers and Acquisitions; and Career Concerns and Staged Investment Evidence from the Venture Capital Industry,Harvard University,2000,G,Financial Economics,2000-2001,both,"Baker, Malcolm P.",7403075430,"BAKER, MALCOLM",pba735
"BOK, TOMAS;Harvard University;2000","Bok, Tomas",Stochastic and Dynamic Games; Evolutionary Games; Repeated Games,An Evolutionary Model of Learning in Repeated Games,Harvard University,2000,C,Mathematical and Quantitative Methods,2000-2001,both,"Bok, Tomas",15820463800,"BJORK, TOMAS",pbj1
"HSIEH, NIEN-HE;Harvard University;2000","Hsieh, Nien-he","Equity, Justice, Inequality, and Other Normative Criteria and Measurement",Organizing a Just Economy: An Inquiry into Justifying the Organization of Economic Activity,Harvard University,2000,D,Microeconomics,2000-2001,both,"Hsieh, Nienhê",14627458200,,
"MENEGOTTO, DEBORAH;Harvard University;2000","Menegotto, Deborah",Search; Learning; Information and Knowledge; Communication; Belief; Unawareness,On the Economics of Information Acquisition,Harvard University,2000,D,Microeconomics,2000-2001,both,,,,
"MICCO, ALEJANDRO;Harvard University;2000","Micco, Alejandro",Macroeconomics: Production;Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;Business Fluctuations; Cycles;Energy: Demand and Supply; Prices,"Oil Shocks, Output Composition and Labor Demand",Harvard University,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,"Micco, Alejandro",6603753606,"MICCO, ALEJANDRO",pmi66
"REDDY, SANJAY;Harvard University;2000","Reddy, Sanjay",International Economic Order and Integration;Trade: General,Bargaining and Distribution: Essays on International Integration and National Regulation,Harvard University,2000,F,International Economics,2000-2001,both,"Reddy, Sanjay G.",8081732700,"REDDY, SANJAY G.",pre99
"SANCHEZ, CAROLINA;Harvard University;2000","Sanchez, Carolina",Labor and Demographic Economics: General;Health: General,Three Essays on Labor and Health,Harvard University,2000,J,Labor and Demographic Economics,2000-2001,both,"Sánchez-Páramo, Carolina",15072134500,,
"SEINFELD, JANICE;Harvard University;2000","Seinfeld, Janice","Firm Objectives, Organization, and Behavior: General",Essays on Firm-Level Responses to Changes in Industry Environment,Harvard University,2000,L,Industrial Organization,2000-2001,both,"Seinfeld, Janice N.",24068001100,"SEINFELD, JANICE NATALIE",pse431
"WACHTER, JESSICA;Harvard University;2000","Wachter, Jessica",Financial Economics: General;Asset Pricing; Trading Volume; Bond Interest Rates;Pension Funds; Non-bank Financial Institutions; Financial Instruments; Institutional Investors,Essays in Financial Economics: Optimal Portfolio Allocation for an Investor with Utility over Consumption; Risk Aversion and Allocation to Long-Term Bonds; Should Investors Avoid All Actively Managed Mutual Funds? A Study in Bayesian Performance Evaluation; and Habit Formation and the Cross-Section of Asset Returns,Harvard University,2000,G,Financial Economics,2000-2001,both,"Wachter, Jessica A.",9738184300,"WACHTER, JESSICA A.",pwa346
"HILLBERRY, RUSSELL H.;Indiana University;2000","Hillberry, Russell H.",International Economic Order and Integration;Empirical Studies of Trade,Disaggregating the Border Effect,Indiana University,2000,F,International Economics,2000-2001,both,"Hillberry, Russell H.",9536989900,"HILLBERRY, RUSSELL",phi69
"POPE, CHRISTOPHER R.;Indiana University;2000","Pope, Christopher R.",Sports; Gambling; Restaurants; Recreation; Tourism,"The Professional Sports Owner and the Search for Unique Sources of Revenue: Analyzing the Impact of New Stadiums on Team Quality, Owner Strategy, and Consumer Cost",Indiana University,2000,L,Industrial Organization,2000-2001,both,"Pope, Christopher R.",8536242700,,
"SABYR, LYAZIZA G.;Indiana University;2000","Sabyr, Lyaziza G.","Socialist Systems and Transitional Economies: National Income, Product, and Expenditure; Money; Inflation;Price Level; Inflation; Deflation;Macroeconomics: Consumption; Saving; Wealth;Investment; Capital; Intangible Capital; Capacity;Socialist Systems and Transitional Economies: Performance and Prospects","Inflation, Investment, and Savings under Market Reforms: Essays on the Dynamics of Transition",Indiana University,2000,P,Economic Systems,2000-2001,both,"Sabyr, Lyaziza",6504043609,,
"SCHMITT, PAMELA M.;Indiana University;2000","Schmitt, Pamela M.","Market Structure, Firm Strategy, and Market Performance: General;Wage Level and Structure; Wage Differentials;Dispute Resolution: Strikes, Arbitration, and Mediation; Collective Bargaining",Bargaining on Wages and Competition in Price and Product Quality,Indiana University,2000,L,Industrial Organization,2000-2001,both,"Schmitt, Pamela M.",7102186049,"SCHMITT, PAMELA",psc93
"SHUPP, ROBERT S.;Indiana University;2000","Shupp, Robert S.","Market Structure, Pricing, and Design: General","Winner-Take-All Markets: A Theoretical, Experimental, and Field Study",Indiana University,2000,D,Microeconomics,2000-2001,both,"Shupp, Robert S.",6507069894,"SHUPP, ROBERT SETH",psh200
"SWOPE, KURTIS J.;Indiana University;2000","Swope, Kurtis J.",Public Goods,The Political Economy of Excludable Public Goods,Indiana University,2000,H,Public Economics,2000-2001,both,"Swope, Kurtis J.",6603002563,,
"WORAWISUTSARAKUL, SAREE;Indiana University;2000","Worawisutsarakul, Saree",Technological Change: Government Policy;Management of Technological Innovation and R&D,The Role of Government Policy on International Research and Development,Indiana University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"VON DER RUHR, MARC;Indiana University;2000","von der Ruhr, Marc",Multinational Firms; International Business;Industry Studies: Services: General,Foreign Direct Investment in Services,Indiana University,2000,F,International Economics,2000-2001,both,"Von Der Ruhr, Marc B.",8652840400,"VON DER RUHR, MARC",pvo86
"SECCHI, SILVIA;Iowa State University;2000","Secchi, Silvia",Health: Government Policy; Regulation; Public Health;Agricultural Policy; Food Policy,Economic Issues in Resistance Management,Iowa State University,2000,I,"Health, Education, and Welfare",2000-2001,both,"Secchi, Silvia",6602177564,"SECCHI, SILVIA",pse651
"SOTNIKOV, SERGEY;Iowa State University;2000","Sotnikov, Sergey","Collectives; Communes; Agriculture;Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets",Three Essays on the Economic Reform and Agricultural Producer Behavior in a Transition Economy,Iowa State University,2000,P,Economic Systems,2000-2001,both,"Sotnikov, Sergey",6603357683,"SOTNIKOV, SERGEY",pso22
"TURK, ALEXANDER;Iowa State University;2000","Turk, Alexander","Trade Unions: Objectives, Structure, and Effects;Public Sector Labor Markets",Public Sector Unions and the Free-Rider Problem,Iowa State University,2000,J,Labor and Demographic Economics,2000-2001,both,,,,
"MATOS-DIAZ, HORACIO;Kansas State University;2000","Matos-Diaz, Horacio",Analysis of Education;Economic Development: Human Resources; Human Development; Income Distribution; Migration,Scale and Scope Economies in Higher Education: The Case of Regional Colleges of the University of Puerto Rico,Kansas State University,2000,I,"Health, Education, and Welfare",2000-2001,both,"Matos-Díaz, Horacio",24430593200,"MATOS-DIAZ, HORACIO",pma866
"LAI, FAR-TSMIR;Louisiana State University;2000","Lai, Far-tsmir",Trade: General;Capitalist Systems: Political Economy,Three Essays on Political Economy and International Trade,Louisiana State University,2000,F,International Economics,2000-2001,both,,,,
"AHMED, HIBA;Michigan State University;2000","Ahmed, Hiba",Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;Renewable Resources and Conservation: Water,Three Essays on Water Service: A Case Study of the Residential Sector of Cairo,Michigan State University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"CAMARA, YOUSSOUF;Michigan State University;2000","Camara, Youssouf",Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;Agriculture: Aggregate Supply and Demand Analysis; Prices,"Profitability of Cassava Production Systems in West Africa: A Comparative Analysis (Cote d'Ivoire, Ghana and Nigeria)",Michigan State University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Camara, Youssouf",57214278374,,
"MENDEZ, FABIO;Michigan State University;2000","Mendez, Fabio",Economic Development: General;Formal and Informal Sectors; Shadow Economy; Institutional Arrangements,Essays on Economic Development and Institutions,Michigan State University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Méndez, Fabio",8371233200,"MENDEZ, FABIO",pme140
"MOLE, PAULO;Michigan State University;2000","Mole, Paulo",Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;Agriculture: Aggregate Supply and Demand Analysis; Prices,An Economic Analysis of Smallholder Cashew Development Opportunities and Linkages to Food Security in Mozambique's Northern Province of Nampula,Michigan State University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"YANGGEN, DAVID RUSSELL;Michigan State University;2000","Yanggen, David Russell",Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;Renewable Resources and Conservation: Forestry;Sustainable Development;Agriculture: General,Sustainable Agriculture and Deforestation in the Peruvian Amazon,Michigan State University,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Yanggen, David R.",6505704332,,
"ALEXAKOS, OLGA;New School for Social Research;2000","Alexakos, Olga","Economics of Gender; Non-labor Discrimination;Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity",Conceptualizing Gender in a Mode of Production Analysis,New School for Social Research,2000,J,Labor and Demographic Economics,2000-2001,both,,,,
"CHEOL-SOO, PARK;New School for Social Research;2000","Cheol-Soo, Park",Current Heterodox Approaches: Socialist; Marxian; Sraffian,Three Essays in Marxian Economics: A Study of Marxian Theory of Competition and Dynamics,New School for Social Research,2000,B,Schools of Economic Thought and Methodology,2000-2001,both,,,,
