adv_scopus,adv_jel
6602393029,D
6602399473,L
6602404060,G
6602408526,E
6602414825,J
6602420862,P
6602422180,G
6602422569,C
6602429118,F
6602431067,K
6602431557,D
6602434949,N
6602442123,H
6602444864,M
6602445228,J
6602445231,P
6602458650,G
6602463742,D
6602472305,J
6602473660,D
6602479567,G
6602485583,F
6602487974,O
6602498789,O
6602500728,J
6602515085,F
6602516212,G
6602517960,E
6602526741,H
6602544953,E
6602552097,F
6602555419,H
6602558896,J
6602560326,L
6602560972,O
6602563951,D
6602566022,J
6602566696,O
6602569167,F
6602572994,L
6602579737,C
6602582312,F
6602588097,R
6602597836,H
6602606209,G
6602609493,E
6602612673,E
6602620281,G
6602626183,G
6602627412,I
6602634188,J
6602634280,J
6602636934,F
6602642797,E
6602648108,C
6602650449,F
6602652852,D
6602655685,D
6602659594,G
6602662459,E
6602662619,F
6602663180,E
6602676810,F
6602681812,F
6602687263,D
6602687555,J
6602694613,L
6602694929,K
6602696493,G
6602697201,L
6602710543,G
6602724008,G
6602727230,C
6602730596,G
6602734217,L
6602734837,R
6602743155,O
6602745884,C
6602751606,G
6602755347,J
6602768571,G
6602769709,R
6602771277,D
6602775999,O
6602776185,R
6602776316,I
6602791798,C
6602793884,H
6602797318,D
6602797364,C
6602802046,C
6602810769,H
6602814751,R
6602820213,N
6602821952,R
6602822106,D
6602827939,J
6602829966,C
6602836339,D
6602837092,E
6602838457,N
6602840298,R
6602844138,G
6602844657,O
6602851659,J
6602858174,O
6602860789,E
6602862528,D
6602869901,D
6602870758,O
6602873273,J
6602874179,F
6602876877,L
6602880892,D
6602884539,C
6602887809,F
6602889328,H
6602889656,D
6602897563,D
6602899326,F
6602902778,N
6602903157,J
6602905204,N
6602906288,I
6602929281,F
6602930341,H
6602948322,D
6602951184,J
6602952624,C
6602955519,D
6602958112,L
6602973873,D
6602974540,F
6602975529,O
6602977238,O
6602985581,F
6602988854,L
6602989968,E
6602991063,C
6602997396,H
6603007340,R
6603008860,D
6603012466,K
6603014827,J
6603022989,C
6603023448,D
6603027196,D
6603028533,I
6603041396,J
6603042707,G
6603050427,H
6603059539,D
6603061257,J
6603061995,D
6603062816,O
6603068371,R
6603069473,G
6603072064,C
6603077485,F
6603077822,O
6603080249,F
6603085602,G
6603087290,H
6603088381,G
6603092701,L
6603107723,C
6603108342,O
6603112690,R
6603116427,C
6603119930,L
6603124121,G
6603126791,K
6603136355,D
6603138010,L
6603139873,O
6603149337,J
6603150768,D
6603150991,E
6603154540,F
6603158120,E
6603158981,L
6603159878,I
6603162711,O
6603164741,J
6603168578,J
6603174999,G
6603175115,D
6603176381,J
6603176728,L
6603190483,H
6603191591,O
6603195861,R
6603207649,E
6603210951,I
6603211395,I
6603215499,L
6603216170,L
6603222450,D
6603226704,C
6603231686,D
6603232300,H
6603249168,C
6603261116,O
6603264571,E
6603266966,F
6603272073,H
6603272098,F
6603277860,L
6603277936,G
6603284871,D
6603285567,L
6603289042,G
6603304118,R
6603305238,G
6603307228,G
6603314839,E
6603315990,F
6603319897,C
6603320837,P
6603322505,G
6603322574,G
6603322965,D
6603323032,E
6603323370,E
6603342766,C
6603347234,R
6603348764,L
6603359015,E
6603369227,R
6603377988,O
6603389019,C
6603390069,D
6603390280,G
6603391587,D
6603395017,H
6603398170,D
6603409028,C
6603409344,G
6603414469,D
6603419065,L
6603427079,I
6603430106,K
6603434363,F
6603438007,G
6603447496,H
6603452877,L
6603455554,R
6603457527,L
6603457657,C
6603457677,R
6603458570,O
6603461380,C
6603470176,E
6603470501,R
6603471571,J
6603472607,C
6603477130,O
6603477531,F
6603481071,D
6603481581,L
6603481647,G
6603489953,F
6603492780,O
6603498535,D
6603501048,G
6603519629,F
6603525064,D
6603532461,D
6603536540,D
6603539469,J
6603540966,R
6603542553,D
6603543615,F
6603544686,F
6603546353,H
6603549284,D
6603550073,F
6603556825,R
6603559800,E
6603566491,E
6603567284,O
6603571634,F
6603572888,D
6603577757,D
6603584226,R
6603589746,L
6603600974,D
6603604286,D
6603605391,L
6603608891,F
6603609085,I
6603611569,C
6603611939,E
6603612841,O
6603615280,D
6603620073,H
6603630763,H
6603634202,M
6603635875,L
6603638256,D
6603642685,O
6603644753,L
6603646700,J
6603648434,F
6603659466,O
6603659971,O
6603663191,H
6603664644,G
6603670579,E
6603671212,G
6603673032,O
6603687960,D
6603689321,C
6603691303,L
6603699949,O
6603700685,O
6603700951,C
6603713077,C
6603717054,J
6603725191,H
6603736732,H
6603737924,F
6603740957,E
6603742639,E
6603747348,E
6603752410,O
6603758347,L
6603759295,D
6603768691,C
6603770500,G
6603777705,O
6603782012,N
6603792210,G
6603795610,E
6603795679,E
6603797646,R
6603813018,E
6603813302,C
6603823807,D
6603827914,L
6603828815,O
6603829811,J
6603834994,D
6603841507,P
6603841578,C
6603845006,G
6603846007,L
6603853296,F
6603856375,H
6603857401,E
6603862452,E
6603866495,I
6603869817,F
6603874019,D
6603878018,C
6603879066,F
6603889672,G
6603890077,J
6603894606,D
6603895625,D
6603899288,J
6603903102,O
6603908700,M
6603909108,F
6603910164,C
6603910263,D
6603916874,G
6603920168,C
6603921865,G
6603924689,K
6603932212,D
6603943853,R
6603946994,H
6603950532,J
6603951476,D
6603951618,H
6603954141,C
6603956309,C
6603962297,O
6603968952,D
6603969563,C
6603999193,J
6604012908,H
6604020003,F
6604025147,O
6604029510,H
6604035782,F
6604061536,D
6604065425,C
6604071769,G
6604093588,J
6701308305,C
6701337045,G
6701340380,D
6701342832,D
6701344487,P
6701349362,P
6701353034,H
6701362825,O
6701368935,G
6701370709,F
6701383903,G
6701386836,F
6701391248,H
6701401778,D
6701405748,E
6701406767,G
6701410902,H
6701428640,D
6701448355,C
6701455549,D
6701460925,H
6701464844,I
6701464966,I
6701468567,G
6701474154,D
6701475114,F
6701477304,C
6701482228,F
6701484164,C
6701484320,O
6701488497,F
6701490596,F
6701501746,L
6701505234,D
6701515593,F
6701521662,F
6701522393,C
6701523885,F
6701526433,D
6701529245,H
6701531050,I
6701533717,D
6701536423,F
6701537658,D
6701542800,O
6701550636,F
6701561669,E
6701567319,C
6701569106,F
6701569716,F
6701576940,F
6701579737,F
6701580627,R
6701594007,R
6701602667,I
6701603939,G
6701604150,D
6701606939,D
6701610761,F
6701610891,O
6701630810,F
6701633195,F
6701639317,F
6701643158,D
6701655833,L
6701663060,H
6701673002,D
6701676884,E
6701677208,H
6701683269,H
6701683572,G
6701690623,C
6701691043,H
6701692699,J
6701694147,O
6701701283,D
6701708788,O
6701709924,E
6701710674,F
6701711758,E
6701715072,H
6701722502,H
6701729750,C
6701731485,E
6701738833,F
6701749108,N
6701753982,R
6701762673,E
6701765247,G
6701770884,C
6701781057,F
6701781622,O
6701782025,J
6701783801,H
6701787660,J
6701796313,D
6701796395,M
6701799144,N
6701802161,N
6701805623,D
6701809311,G
6701814945,C
6701819730,C
6701823402,J
6701825524,F
6701835571,E
6701845739,D
6701846168,F
6701854177,J
6701856933,H
6701859264,J
6701861348,G
6701865233,R
6701876850,D
6701894742,H
6701898450,I
6701914037,R
6701922429,D
7003263580,F
7003283668,F
7003289718,F
7003290565,O
7003290720,E
7003297409,R
7003300500,I
7003314443,C
7003319965,I
7003320962,I
7003321408,G
7003322815,L
7003328388,D
7003357524,D
7003362084,F
7003366020,O
7003372814,G
7003380130,F
7003393759,M
7003409629,I
7003415979,R
7003421234,J
7003431727,E
7003433000,H
7003433892,E
7003441111,C
7003441993,J
7003467291,R
7003474741,H
7003478404,P
7003483273,E
7003507242,D
7003518535,F
7003521055,G
7003523418,O
7003527723,I
7003529431,J
7003539397,J
7003552368,E
7003554574,O
7003560681,D
7003581258,I
7003582259,E
7003582807,I
7003583590,D
7003593594,J
7003594755,G
7003595449,G
7003604078,J
7003617768,I
7003622493,J
7003626422,O
7003626633,J
7003633542,K
7003650420,J
7003663349,L
7003665762,F
7003668469,I
7003673566,D
7003676897,R
7003687534,E
7003688582,R
7003693014,E
7003701346,H
7003728841,R
7003728968,J
7003730184,O
7003735589,H
7003736000,D
7003745953,I
7003758093,E
7003765308,J
7003770272,L
7003783439,F
7003791139,H
7003811666,K
7003812265,E
7003816660,E
7003823546,E
7003824778,E
7003832293,D
7003837225,K
7003839193,D
7003846041,D
7003849247,H
7003850605,J
7003856849,O
7003866021,E
7003866261,N
7003868610,N
7003868761,C
7003870428,C
7003889245,F
7003889413,E
7003890922,E
7003898097,F
7003899796,E
7003908394,J
7003911528,H
7003914118,F
7003916189,O
7003923915,D
7003926083,O
7003933731,J
7003934025,G
7003934170,H
7003941290,F
7003941859,F
7003944621,R
7003948075,J
7003953338,H
7003953456,N
7003954373,L
7003962512,F
7003965603,H
7003972408,J
7003978816,L
7003982192,G
7003997504,L
7004004119,G
7004007670,O
7004013059,F
7004017860,C
7004020982,H
7004023654,C
7004026390,O
7004045133,C
7004045556,R
7004045558,D
7004046424,F
7004046782,J
7004050464,E
7004065954,G
7004070029,J
7004081207,L
7004087804,C
7004097814,C
7004102101,H
7004102468,I
7004110147,G
7004114269,G
7004116137,D
7004123557,L
7004127772,F
7004132243,K
7004133000,J
7004136370,O
7004151185,I
7004154834,H
7004177362,J
7004177835,O
7004179170,R
7004192721,R
7004197155,O
7004203407,O
7004203732,M
7004207810,L
7004218524,D
7004219854,P
7004224889,E
7004233013,O
7004233941,H
7004241060,G
7004250767,D
7004255822,J
7004264968,L
7004265236,D
7004266406,G
7004267082,H
7004277360,E
7004297002,D
7004305461,C
7004308668,F
7004310598,I
7004316628,E
7004325360,H
7004326556,P
7004326710,L
7004336434,C
7004337487,D
7004339751,C
7004344312,D
7004350087,O
7004365245,D
7004373198,J
7004386298,D
7004398300,D
7004398575,D
7004403016,H
7004405299,C
7004409567,E
7004421421,C
7004421510,C
7004449292,D
7004460641,F
7004471375,O
7004482555,O
7004484373,E
7004487955,F
7004494669,I
7004496930,G
7004499224,D
7004507510,E
7004508664,R
7004513266,R
7004529142,D
7004547299,I
7004551829,H
7004554226,R
7004573232,J
7004575366,G
7004575750,D
7004577163,D
7004584335,H
7004584924,C
7004587587,H
7004593708,L
7004625566,I
7004635998,J
7004640479,J
7004644309,R
7004653533,C
7004675607,G
7004675901,G
7004689146,E
7004703197,C
7004711632,J
7004726270,C
7004773173,G
7004783779,E
7004818969,C
7004842237,I
7004855546,H
7004870547,L
7004871325,D
7004871751,F
7004903184,J
7004903398,O
7004915367,O
7004923655,G
7004949510,I
7004974686,F
7004979366,N
7004986548,C
7005034952,H
7005039047,J
7005051204,M
7005063270,O
7005067922,H
7005068661,J
7005072562,R
7005089137,D
7005093261,L
7005094362,D
7005104375,J
7005108849,L
7005120181,H
7005126472,R
7005135356,D
7005147989,R
7005150569,H
7005155437,O
7005174190,J
7005176710,F
7005185020,H
7005193658,C
7005194661,D
7005198821,R
7005202443,F
7005220122,R
7005233386,F
7005239201,C
7005252181,J
7005254021,F
7005254668,E
7005255571,J
7005272515,J
7005283220,O
7005286020,M
7005286476,C
7005291734,L
7005292585,I
7005348741,O
7005349157,C
7005355519,F
7005359320,F
7005376779,E
7005380780,O
7005392708,H
7005421445,N
7005460666,J
7005463545,D
7005478063,N
7005482214,H
7005490343,G
7005494815,F
7005549496,O
7005554689,E
7005565630,G
7005579308,D
7005593972,C
7005596016,L
7005602679,C
7005611791,C
7005620197,L
7005637569,C
7005642895,P
7005643274,D
7005662111,E
7005665190,O
7005672746,L
7005673199,D
7005674225,G
7005682922,F
7005701459,E
7005703248,O
7005704853,F
7005707658,D
7005709795,H
7005709849,G
7005725158,E
7005725549,G
7005734271,C
7005740338,C
7005755561,C
7005773156,L
7005774296,H
7005777390,O
7005780879,J
7005781888,G
7005783609,O
7005785064,F
7005790571,E
7005799003,O
7005806112,H
7005806259,R
7005813094,C
7005837890,R
7005843659,E
7005848448,L
7005851742,D
7005854758,K
7005881414,E
7005931636,D
7005933555,F
7005939120,D
7005953107,O
7005986497,J
7005987145,E
7005999904,I
7006001733,E
7006005562,O
7006010092,D
7006011139,H
7006012090,F
7006017367,E
7006027262,D
7006027615,H
7006046725,G
7006051877,R
7006054471,D
7006078050,O
7006078226,G
7006086543,E
7006089469,D
7006094582,G
7006125794,F
7006126360,C
7006127065,C
7006141572,I
7006152180,F
7006157135,F
7006165945,O
7006174558,D
7006182646,E
7006190700,D
7006200519,H
7006215397,G
7006223631,R
7006247659,R
7006249663,E
7006281660,J
7006286384,L
7006287502,L
7006291997,G
7006296772,D
7006315877,C
7006319973,C
7006321164,K
7006328109,E
7006347502,E
7006360852,G
7006361970,C
7006376271,D
7006377194,G
7006381002,C
7006406038,C
7006408306,E
7006416636,R
7006423146,L
7006424769,E
7006429088,E
7006440979,I
7006460950,R
7006464178,L
7006465820,F
7006468798,D
7006479506,J
7006485946,F
7006496577,G
7006498596,L
7006501993,D
7006512019,F
7006516129,O
7006533101,G
7006554030,H
7006576321,R
7006581715,F
7006582266,L
7006621542,O
7006623149,G
7006632398,L
7006634390,E
7006644573,I
7006660183,L
7006667255,N
7006683656,C
7006687083,L
7006693620,F
7006701551,D
7006709011,J
7006720256,O
7006744643,O
7006749778,G
7006756378,O
7006759840,O
7006770651,G
7006780941,C
7006791120,D
7006807390,G
7006813599,F
7006826308,J
7006828969,C
7006834393,C
7006834931,C
7006842300,D
7006845531,G
7006846639,I
7006857179,D
7006870337,C
7006871714,H
7006874051,O
7006875529,G
7006877280,R
7006900058,D
7006944507,J
7006967882,G
7007002539,H
7007010581,C
7007020645,F
7007031416,F
7007050367,J
7007054063,F
7007064657,F
7007067309,D
7007075394,M
7007081721,D
7007083052,J
7007102185,H
7007109494,C
7007115698,C
7007130840,C
7007177218,J
7101600178,D
7101601845,O
7101605895,E
7101619666,O
7101648099,F
7101662421,J
7101664262,O
7101668067,D
7101679740,D
7101684069,H
7101685891,D
7101736542,E
7101741821,G
7101761498,L
7101775368,H
7101785171,G
7101785562,M
7101790800,D
7101802270,M
7101821582,E
7101850882,E
7101859631,F
7101861907,G
7101863759,F
7101866161,O
7101875642,M
7101878064,G
7101892208,F
7101892426,G
7101897288,D
7101898033,G
7101903754,H
7101911473,F
7101932744,R
7101938624,H
7101971287,H
7101998487,C
7102037136,M
7102039871,E
7102040604,K
7102043962,J
7102057978,L
7102067301,O
7102083238,C
7102087110,K
7102087591,R
7102089902,D
7102095514,C
7102143595,L
7102174257,F
7102192963,R
7102197294,L
7102197724,N
7102210208,C
7102212488,L
7102223756,C
7102254371,F
7102255509,O
7102260431,F
7102260860,E
7102267567,C
7102269918,D
7102280221,J
7102281952,E
7102282544,L
7102321956,I
7102344277,G
7102349472,F
7102359355,G
7102389013,F
7102396845,D
7102421705,I
7102424162,F
7102425142,E
7102425571,D
7102445331,F
7102447968,E
7102451433,F
7102453197,F
7102491600,L
7102492892,K
7102503163,H
7102515412,G
7102522156,F
7102554949,H
7102561791,D
7102567758,E
7102570655,G
7102592154,D
7102594487,H
7102596142,I
7102598142,O
7102604921,H
7102613643,M
7102619783,G
7102636841,G
7102637898,C
7102652654,D
7102655174,H
7102675440,H
7102683888,F
7102684398,N
7102695937,G
7102716111,R
7102719026,E
7102727834,C
7102730996,D
7102733401,H
7102737699,J
7102740393,C
7102740918,F
7102743711,J
7102744891,D
7102763125,H
7102796627,D
7102804759,N
7102826991,H
7102853750,G
7102855718,G
7102877473,G
7102912742,D
7102913158,L
7102914448,G
7102916430,O
7102920169,F
7102924995,F
7102925200,J
7102929215,C
7102929822,N
7102933565,F
7102941445,R
7102944828,H
7102972123,O
7102974443,J
7102974634,I
7102985143,D
7102988341,F
7102989698,F
7102998555,G
7103004602,I
7103008745,L
7103019950,H
7103024509,E
7103027457,C
7103033473,E
7103036986,H
7103056185,C
7103066498,O
7103078264,J
7103079149,D
7103089822,H
7103092625,I
7103097151,E
7103131622,G
7103135484,D
7103150497,E
7103167070,I
7103167406,C
7103167410,O
7103178355,G
7103197968,C
7103203738,H
7103223500,N
7103228893,D
7103232104,M
7103232404,E
7103234818,O
7103237676,R
7103289110,D
7103293258,C
7103300253,G
7103300698,E
7103305178,D
7103323098,R
7103331291,D
7103341847,G
7103342438,H
7103350880,K
7103372272,F
7103389076,J
7103404192,F
7103404754,C
7103413240,J
7201375278,I
7201419024,E
7201419363,G
7201497226,C
7201499521,C
7201500230,F
7201517694,R
7201528139,D
7201532199,C
7201541273,I
7201565847,F
7201575650,L
7201587289,D
7201588970,J
7201590382,E
7201610560,D
7201648385,G
7201655617,I
7201656471,R
7201672888,E
7201680048,O
7201689087,D
7201695819,O
7201695946,E
7201697548,K
7201701200,R
7201704033,E
7201707603,L
7201726998,D
7201745219,N
7201747318,O
7201749694,J
7201792015,J
7201792249,D
7201812757,D
7201820586,D
7201826826,D
7201833698,D
7201833855,C
7201835962,H
7201860835,P
7201861917,I
7201868625,O
7201868841,D
7201915473,E
7201937162,E
7201942749,L
7201957274,H
7201961540,O
7201962817,R
7201969595,I
7201971437,G
7201980342,H
7201985547,D
7201989383,H
7201996482,H
7202011670,R
7202016735,D
7202020275,E
7202025195,G
7202034315,C
7202044988,J
7202045376,H
7202096881,C
7202099204,J
7202103794,H
7202107374,J
7202111421,F
7202122235,C
7202135367,C
7202147225,G
7202181658,D
7202182966,C
7202191501,E
7202195938,D
7202206335,J
7202208577,R
7202271590,E
7202290200,R
7202304945,O
7202326848,J
7202376487,H
7202379995,D
7202417483,M
7202419137,D
7202421303,G
7202434234,C
7202436184,G
7202445194,R
7202454998,R
7202489639,M
7202497364,G
7202498174,J
7202504120,J
7202517790,J
7202535210,R
7202536646,H
7202543968,J
7202550831,G
7202572902,D
7202579477,F
7202579738,I
7202580333,D
7202580701,H
7202584377,G
7202610689,J
7202617816,O
7202623033,J
7202631841,J
7202634709,J
7202642296,H
7202657901,L
7202662164,G
7202663809,R
7202676441,C
7202693807,G
7202697377,R
7202703940,J
7202704683,I
7202709634,K
7202724792,E
7202731518,O
7202783915,L
7202789151,R
7202789820,J
7202814091,J
7202824688,L
7202838218,O
7202845520,H
7202877560,D
7202878685,N
7202895259,G
7202905604,O
7202935111,F
7202961086,P
7202963129,N
7202965890,D
7202973322,G
7202975487,L
7202998173,F
7203000846,G
7203006167,C
7203023448,R
7203035564,N
7203049743,F
7401492306,C
7401499166,H
7401509168,C
7401513388,O
7401514705,F
7401520265,F
7401524146,D
7401530469,D
7401553445,K
7401576349,G
7401592846,J
7401596903,C
7401609511,J
7401610061,G
7401610163,R
7401638850,D
7401684297,E
7401691878,F
7401692476,D
7401698136,D
7401718707,K
7401720259,O
7401724784,N
7401733949,D
7401751802,C
7401765384,F
7401798683,D
7401798690,D
7401814059,G
7401820458,F
7401822050,H
7401828541,C
7401830550,D
7401856097,J
7401878367,O
7401896887,L
7401952498,E
7401984348,M
7401985192,I
7401989547,C
7401995818,F
7402021753,I
7402055817,I
7402058049,J
7402059366,F
7402065791,E
7402077766,J
7402079526,D
7402086123,D
7402097496,G
7402114693,G
7402157350,G
7402200753,E
7402202986,H
7402210319,N
7402226219,G
7402278594,G
7402283068,J
7402303236,H
7402320204,E
7402323959,D
7402329857,O
7402346837,O
7402364170,F
7402382523,C
7402393146,I
7402414011,I
7402416227,D
7402440309,J
7402447103,C
7402460571,M
7402484495,D
7402524539,D
7402535503,O
7402544152,J
7402558088,D
7402568800,J
7402642889,D
7402646159,C
7402647996,E
7402660210,I
7402700813,J
7402718508,F
7402750873,G
7402754623,H
7402796263,F
7402848561,N
7402861872,G
7402863842,J
7402886108,O
7402925175,I
7402948555,L
7402989026,E
7403019055,C
7403051360,D
7403061576,J
7403101221,J
7403102169,C
7403138253,L
7403144169,F
7403144460,E
7403166005,D
7403166229,J
7403169075,L
7403199621,N
7403227375,H
7403236020,C
7403258328,R
7403266272,D
7403279961,C
7403281616,I
7403282001,G
7403284465,D
7403286263,F
7403287725,O
7403288842,C
7403325680,D
7403358368,C
7403380760,D
7403393366,C
7403426715,C
7403442513,J
7403470565,D
7403542084,C
7403583729,H
7403630559,C
7403649122,I
7403656319,E
7403703776,E
7403704258,F
7403704965,H
7403704966,E
7403735746,E
7403868488,D
7403871158,G
7403912861,E
7403917219,G
7403925856,C
7403929783,L
7403959608,J
7404023571,D
7404024922,N
7404031961,L
7404069278,D
7404071603,F
7404154640,D
7404176354,K
7404230422,R
7404241840,L
7404267180,R
7404268367,F
7404299884,D
7404338428,E
7404344604,C
7404357700,C
7404364197,O
7404392732,F
7404395630,O
7404488477,E
7404499759,E
7404547800,J
7404643133,O
7404653954,G
7404752138,G
7404791098,O
7404802174,P
7404847427,J
7404876855,E
7404909841,P
7404980553,D
7405245990,J
7405324008,P
7405407924,E
7405540873,F
7405590615,J
7405839397,D
7405881572,G
7406032609,F
7406097816,G
7406289288,G
7406326915,P
7406667654,O
7406738737,F
7407193218,C
7407735431,G
7408203607,J
7409324632,O
7410100465,G
7410319989,F
7410394025,D
7501392284,L
7501587801,O
7501605012,P
7501838950,C
7501843691,C
7601365811,O
7601384280,E
7601436651,L
7601485279,G
7601598515,N
7701323997,G
7801327160,H
7801327161,F
7801332695,H
7801335712,H
7801345021,C
7801350064,G
7801387638,E
7801442051,J
7801476854,F
7801492502,G
7801493347,R
7801497494,F
7801519538,E
7801555346,L
7801565243,G
7801596264,G
7801624871,G
7801641680,D
7801643491,D
7801648068,H
8043059000,O
8074882100,E
8104429100,J
8209678100,G
8228270800,L
8233706000,J
8234501800,E
8240021300,G
8244003500,J
8255236300,J
8268244500,G
8282156200,D
8298521500,E
8303658900,H
8307984400,G
8334493000,D
8340474100,G
8343850700,C
8354990500,C
8357524300,D
8360393200,E
8368788100,R
8377767200,C
8397908100,E
8411261100,G
8412209200,F
8438357800,D
8442022200,G
8450457100,J
8452109000,E
8452967800,D
8509936300,R
8544947000,L
8581721900,C
8605234200,C
8613737900,L
8636660100,D
8639541200,C
8643488600,F
8646823300,L
8675236800,H
8696858200,I
8721973300,O
8726558500,F
8749575800,L
8843658500,L
8871589200,G
8873464300,F
8886365000,C
8889740400,H
8895511000,D
8900938300,G
8945171400,G
8964575000,D
8969005400,P
9043045100,J
9237321000,J
9243821300,C
9277971900,L
9433018700,H
9632384100,R
10339832500,E
10340933100,G
10439211000,C
11240439300,E
11541201900,E
11639185900,R
12545041400,L
12646317600,C
12772232000,G
12786548600,F
12794227800,P
13004984200,G
13006784400,J
13007744200,R
13204605100,F
13205032700,H
13310394600,E
13604847500,L
13606276100,F
13606852000,C
13610607000,D
13905390300,L
13906529000,N
14020709300,D
14035149900,G
14054161800,F
14056961200,D
14419920600,L
14522687200,G
14825559900,F
14834046600,N
15048208500,C
15057854600,E
15061926000,O
15734238400,E
15751966900,P
15759602600,G
15820477100,J
15824236200,O
15826352900,F
15839504400,G
15849606400,D
16028070900,C
16068434800,K
16202937400,K
16241174800,L
16401436200,F
16405822600,D
16406081200,D
16410035200,F
16424242500,R
16430245400,C
16434362200,E
16437323300,K
16445447200,G
16446204900,G
16475049100,H
16480300000,H
16482020700,H
16744495200,C
16744833200,E
17433674100,E
18340019200,I
19336384800,E
21233610700,G
21733645300,E
21736912800,F
21742894700,E
22833332800,R
22981074400,L
22984201900,H
23029469600,D
23080621700,G
23088457200,N
23122476600,R
23135477500,P
23138321800,C
23166985700,C
23393495600,F
23394261200,D
23488513600,H
24173931200,G
24279383300,E
24294687000,G
24306509400,D
24317720600,H
24319992100,D
24320855100,H
24321552100,O
24323042900,N
24325348300,C
24328639200,J
24347287000,D
24352527900,D
24356651700,D
24364685500,L
24372394700,L
24381190200,C
24395324300,O
24404734500,E
24423598900,R
24423802100,G
24426717700,F
24439801900,C
24441370200,H
24450963700,N
24459226100,E
24486718300,F
24495144300,D
24513063700,N
24586945300,C
24598605200,G
24777982200,E
24779180000,O
24784705200,O
24787899900,H
25943999700,D
26121206500,K
26326476000,D
26431064500,E
26643094700,H
26643593100,H
26643600300,I
26643636100,L
26657404900,D
27169590700,C
34770319100,G
35081770800,F
35118312500,O
35215073600,C
35247685600,F
35279263800,E
35281139200,E
35293058900,E
35309835200,G
35319716100,E
35320878200,J
35336120000,D
35350444400,C
35379656100,J
35380567800,L
35422484100,C
35424515800,D
35431889700,I
35434749600,J
35454496200,L
35494272100,E
35508595900,H
35508864200,I
35511652100,N
35519450000,D
35565727600,D
35578894000,D
35579826100,G
35582768200,L
35585929500,G
35589392500,D
35597979500,C
35599918200,I
35606591400,J
35608181600,F
35608977600,F
35609860600,E
35611527900,E
35613613100,R
35613639000,C
35613928700,F
35616774700,J
35619751500,K
35622108100,H
35752382900,C
35773530200,L
35786757100,E
35791509900,G
35792340600,H
35794620600,F
35808949200,H
35831274400,H
35838500200,D
35838953700,R
35860073700,F
35884767100,D
35885159600,O
35900546200,G
35941945600,D
35963222300,G
35996356600,R
35996396300,O
35997540500,J
36004612500,C
36004624900,G
36007459400,F
36010834300,G
